"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_1058";"v_872";"v_877";"v_878";"v_879";"v_85";"v_451";"v_870";"v_873";"v_874";"v_1135";"v_876";"v_1046";"v_1035";"v_1056";"v_1057";"v_1053";"v_1060";"v_1061";"v_1062";"v_1063";"v_1064";"v_1065";"v_1066";"v_1067";"v_1068";"v_1069";"v_1070";"v_1071";"v_1072";"v_1073";"v_1074";"v_1075";"v_1076";"v_1077";"v_1078";"v_1079";"v_1080";"v_1081";"v_1082";"v_1085";"v_1086";"v_1087";"v_1088";"v_1089";"v_1090";"v_1091";"v_1092";"v_1093";"v_1094";"v_1095";"v_1096";"v_1097";"v_1098";"v_1099";"v_1100";"v_1101";"v_1102";"v_1103";"v_1104";"v_1105";"v_1106";"v_1107";"v_1108";"v_1109";"v_1110";"v_1111";"v_1112";"v_1113";"v_1114";"v_1115";"v_1116";"v_1117";"v_1118";"v_1119";"v_1120";"v_1121";"v_1122";"v_1123";"v_1124";"v_1125";"v_1126";"v_1127";"v_1128";"v_1129";"v_1130";"v_1131";"v_1132";"v_1133";"v_1134";"browser";"referer";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts4384348";"rts4384349";"rts4384394";"rts4384468";"rts4384469";"rts4384897";"rts4385026";"rts4385055";"rts4385159";"rts4385550";"rts4385552"
"30";"0";"0";"22";"4384349";"-77";"0";"11";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349";"1";"0";"0";"-77";"-77";"72a9c246e232401367234b5743974fa6";"1";"0";"1442409027";"2015-09-16 13:10:27";"2015-09-16 13:10:37";"0000-00-00 00:00:00";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"31";"0";"0";"31";"4384395";"-77";"5368";"3";"2";"19";"7";"1995";"5";"Psychologie";"1";"1";"2";"1";"2";"1";"-77";"-77";"-66";"Klavier";"2";"1";"1";"2";"2";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"2";"1";"2";"1";"1";"1";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:38.0) Gecko/20100101 Firefox/38.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"1";"0";"-77";"-77";"3acdfe7791c624b22d6174918d6ad077";"1";"0";"1442491002";"2015-09-17 11:56:42";"2015-09-17 13:26:10";"0000-00-00 00:00:00";"4867";"4929";"5368";"5015";"5161";"4943";"0";"4933";"5108";"5259";"5353"
"32";"0";"0";"31";"4384395";"-77";"5183";"6";"2";"6";"10";"1993";"4";"Psychologie";"1";"1";"1";"15";"2";"1";"-77";"-77";"-66";"Harfe, Klavier";"2";"2";"1";"1";"2";"1";"1";"1";"1";"2";"2";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"2";"2";"2";"1";"1";"2";"1";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"fa1d5cf05e8202fc7f2de91af0196ce9";"1";"0";"1442491014";"2015-09-17 11:56:54";"2015-09-17 13:23:17";"0000-00-00 00:00:00";"4852";"4905";"5183";"4973";"5073";"4916";"0";"4914";"5029";"5120";"5178"
"33";"0";"0";"31";"4384395";"-77";"5354";"5";"2";"20";"8";"1993";"4";"Psychologie";"1";"1";"1";"0";"1";"1";"2";"2";"2048";"Klavier";"1";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"2";"1";"2";"2";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"d7167cb9f5bd8b8a1532f997cfba2d46";"1";"0";"1442491069";"2015-09-17 11:57:49";"2015-09-17 13:27:03";"0000-00-00 00:00:00";"4792";"4880";"5354";"5032";"5199";"4953";"4918";"4931";"5125";"5279";"5344"
"34";"0";"0";"31";"4384395";"-77";"5189";"4";"2";"3";"5";"1994";"5";"Psychologie";"1";"2";"2";"1";"2";"2";"-77";"-77";"-66";"-66";"2";"1";"2";"1";"2";"2";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"2";"2";"2";"1";"1";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"2";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"1";"0";"-77";"-77";"94d13ba2f9c89c7f5d58c48cfeb65a4f";"1";"0";"1442491136";"2015-09-17 11:58:56";"2015-09-17 13:25:25";"0000-00-00 00:00:00";"4726";"4804";"5189";"4887";"5038";"4820";"0";"0";"4978";"5095";"5175"
"35";"0";"0";"31";"4384395";"-77";"5208";"8";"2";"10";"5";"1995";"4";"Psychologie";"1";"1";"2";"3";"2";"1";"-77";"-77";"-66";"Altflöte und picolo";"2";"1";"1";"2";"2";"2";"1";"2";"1";"2";"2";"2";"1";"2";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"2";"2";"1";"2";"2";"1";"2";"1";"1";"2";"2";"2";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"1";"0";"-77";"-77";"adaa6edc70d8aa554ba00bc2f7cec3fc";"1";"0";"1442821434";"2015-09-21 07:43:54";"2015-09-21 09:10:42";"0000-00-00 00:00:00";"4750";"4810";"5208";"4910";"5050";"4844";"0";"4829";"4981";"5113";"5196"
"36";"0";"0";"31";"4384395";"-77";"479";"7";"2";"4";"5";"1994";"5";"Psychologie";"1";"2";"2";"3";"2";"1";"-77";"-77";"-66";"Schlagzeug, Flöte";"1";"1";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"1";"2";"2";"2";"1";"1";"1";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385550,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"11ed7289c3e8d12ff63b6b215a4a5c5b";"1";"0";"1442826168";"2015-09-21 09:02:48";"2015-09-21 09:10:47";"0000-00-00 00:00:00";"24";"76";"479";"153";"301";"89";"0";"86";"232";"395";"474"
"38";"0";"0";"31";"4384395";"-77";"4396";"10";"2";"10";"8";"1994";"5";"Psychologie";"1";"1";"2";"3";"1";"1";"1";"2";"Candy Crush";"Querflöte";"1";"1";"2";"1";"1";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"1";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"41d5dfe202766532bd51721c3fd65048";"1";"0";"1443002905";"2015-09-23 10:08:25";"2015-09-23 11:21:41";"0000-00-00 00:00:00";"3952";"4009";"4396";"4119";"4236";"4060";"4029";"4039";"4174";"4297";"4367"
"39";"0";"0";"31";"4384395";"-77";"4478";"9";"2";"6";"11";"1994";"4";"Psychologie";"1";"1";"1";"1";"1";"1";"1";"1";"100 Floors";"Gitarre";"1";"1";"2";"1";"1";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"2";"1";"2";"1";"2";"2";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"2";"2";"2";"2";"1";"1";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"21e3df2c044c9ccf8035fa19f8b6129a";"1";"0";"1443002933";"2015-09-23 10:08:53";"2015-09-23 11:23:31";"0000-00-00 00:00:00";"3923";"3970";"4478";"4118";"4275";"4034";"4004";"4011";"4213";"4329";"4423"
"40";"0";"0";"31";"4384395";"-77";"386";"999";"1";"12";"12";"1900";"3";"OFFICIAL MLG PLAYER";"1";"1";"1";"100";"1";"1";"3";"1";"CS:GO";"Saxophonelelelele";"1";"2";"2";"1";"1";"2";"2";"2";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"2";"1";"1";"2";"2";"2";"1";"1";"1";"2";"1";"2";"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"6e4091b1c50b6cc146aa749e9db94bc8";"1";"0";"1443006918";"2015-09-23 11:15:18";"2015-09-23 11:21:44";"0000-00-00 00:00:00";"9";"45";"386";"178";"295";"93";"61";"68";"244";"332";"376"
